key1,key2,value,label
n5,segment6,0.07326007326007322,strong
n3,segment4,0.06646058732612059,strong
n5,segment2,0.06593406593406592,strong
n5,segment5,0.06593406593406592,strong
n5,segment8,0.06227106227106216,strong
n3,segment2,0.057187017001545604,strong
n5,segment7,0.05494505494505497,strong
n5,segment3,0.05128205128205121,strong
n5,segment10,0.05128205128205121,strong
n1,segment1,0.047244094488189003,strong
n3,segment6,0.04636785162287482,strong
n5,segment9,0.04395604395604391,strong
n3,segment7,0.040185471406491424,strong
n1,segment9,0.03937007874015752,strong
n1,segment8,0.03937007874015752,strong
n1,segment3,0.03937007874015741,strong
n3,segment1,0.03863987635239574,strong
n5,segment1,0.03663003663003661,strong
n1,segment7,0.03149606299212593,strong
n3,segment9,0.030911901081916437,strong
n3,segment3,0.02782071097372496,neutral
n3,segment5,0.02782071097372496,neutral
n3,segment10,0.026275115919629055,neutral
n5,segment4,0.02564102564102555,neutral
n1,segment2,0.023622047244094446,neutral
n1,segment4,0.023622047244094446,neutral
n1,segment6,0.023622047244094446,neutral
n4,segment4,0.02030456852791873,neutral
n2,segment9,0.0190217391304347,neutral
n6,segment7,0.01716738197424894,neutral
n1,segment10,0.015748031496062964,neutral
n2,segment2,0.013586956521739135,neutral
n2,segment4,0.013586956521739135,neutral
n2,segment5,0.013586956521739135,neutral
n2,segment6,0.013586956521739135,neutral
n6,segment1,0.012875536480686622,neutral
n1,segment5,0.011811023622047223,neutral
n2,segment7,0.010869565217391353,neutral
n2,segment1,0.010869565217391242,neutral
n3,segment8,0.010819165378670781,neutral
n6,segment8,0.008583690987124415,weak
n2,segment10,0.005434782608695676,weak
n6,segment4,0.0042918454935622075,weak
n2,segment3,0.0027173913043478937,weak
n6,segment3,0.0,weak
n6,segment6,0.0,weak
n4,segment3,0.0,weak
n4,segment10,-0.005076142131979711,weak
n4,segment5,-0.005076142131979711,weak
n2,segment8,-0.005434782608695676,weak
n6,segment10,-0.008583690987124415,weak
n6,segment2,-0.008583690987124415,weak
n6,segment5,-0.008583690987124526,weak
n4,segment1,-0.010152284263959421,weak
n4,segment6,-0.015228426395939132,weak
n4,segment7,-0.015228426395939132,weak
n6,segment9,-0.01716738197424883,weak
n4,segment8,-0.020304568527918843,weak
n4,segment9,-0.025380710659898553,weak
n4,segment2,-0.040609137055837574,weak
